,ID,Rejected,Gender,Car,Realty,Work Phone,Phone,Email,# of Children,Annual Income,Age,Years Employed,Family Size,Income Category,Occupation,Education,Marital Status,Residency
3328,5008916,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3329,5008917,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3330,5008918,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3331,5008919,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3332,5008920,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3333,5008921,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3334,5008922,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3335,5008923,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3336,5008924,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3337,5008925,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3338,5008926,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3339,5008927,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3340,5008928,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3341,5008929,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3342,5008930,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3343,5008931,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3344,5008932,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3345,5008933,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3346,5008934,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3347,5008935,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3348,5008936,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3349,5008937,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3350,5008938,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3351,5008939,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3352,5008940,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3353,5008941,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3354,5008942,0,0,0,0,0,1,0,0.0,medium,low,low,2.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3355,5008943,0,0,0,0,0,1,0,0.0,medium,low,low,2.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3356,5008944,0,0,0,0,0,1,0,0.0,medium,low,low,2.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3357,5008945,0,0,0,0,0,1,0,0.0,medium,low,low,2.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3358,5008946,0,0,0,0,0,1,0,0.0,medium,low,low,2.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3359,5008947,0,1,0,1,1,1,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3360,5008948,0,1,0,1,1,1,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3361,5008949,0,1,0,1,1,1,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3362,5008950,0,1,0,1,1,1,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3367,5008955,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3368,5008956,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3369,5008957,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3370,5008958,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3371,5008959,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3372,5008960,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3373,5008962,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3374,5008963,0,0,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3386,5008981,0,1,1,1,0,1,0,0.0,low,high,lowest,2.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
3387,5008983,0,1,1,1,0,1,0,0.0,low,high,lowest,2.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
3388,5008984,0,1,1,1,0,1,0,0.0,low,high,lowest,2.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
3389,5008986,0,1,1,1,0,1,0,0.0,low,high,lowest,2.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
3390,5008987,0,1,1,1,0,1,0,0.0,low,high,lowest,2.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
3391,5008988,0,1,1,1,0,1,0,0.0,low,high,lowest,2.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
3392,5008991,0,0,1,1,1,1,0,0.0,high,medium,lowest,1.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
3393,5008992,0,0,1,1,1,1,0,0.0,high,medium,lowest,1.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
3394,5008993,0,0,1,1,1,1,0,0.0,high,medium,lowest,1.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
3395,5008994,0,0,1,1,1,1,0,0.0,high,medium,lowest,1.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
3396,5008995,0,0,1,1,1,1,0,0.0,high,medium,lowest,1.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
3397,5008998,0,0,1,1,0,0,1,0.0,high,lowest,lowest,2.0,Working,High Tech,Higher education,Married,House / apartment
3398,5008999,0,0,1,1,0,0,1,0.0,high,lowest,lowest,2.0,Working,High Tech,Higher education,Married,House / apartment
3399,5009000,0,1,1,1,0,0,0,0.0,medium,lowest,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3400,5009001,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3401,5009002,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3402,5009005,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3403,5009006,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3404,5009007,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3405,5009008,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3406,5009009,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3407,5009010,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3408,5009012,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3409,5009014,0,1,0,1,1,1,0,0.0,medium,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3418,5009027,0,0,1,1,0,0,1,0.0,high,high,high,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3419,5009028,0,0,1,1,0,0,0,0.0,high,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3420,5009029,0,0,1,1,0,0,0,0.0,high,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3421,5009031,0,0,0,1,0,0,0,0.0,high,lowest,lowest,1.0,Working,Office,Secondary / secondary special,Single / not married,House / apartment
3422,5009032,0,0,0,1,0,0,0,0.0,high,lowest,lowest,1.0,Working,Office,Secondary / secondary special,Single / not married,House / apartment
3429,5009039,0,0,0,1,0,0,0,2.0,medium,medium,lowest,3.0,Working,Office,Secondary / secondary special,Single / not married,House / apartment
3430,5009040,0,0,0,1,0,0,0,2.0,medium,medium,lowest,3.0,Working,Office,Secondary / secondary special,Single / not married,House / apartment
3431,5009042,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3432,5009043,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3433,5009044,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3434,5009045,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3435,5009046,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3436,5009047,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3437,5009050,0,0,0,1,0,0,1,2.0,medium,low,lowest,3.0,Working,Office,Higher education,Married,House / apartment
3438,5009051,0,0,0,1,0,0,1,2.0,medium,low,lowest,3.0,Working,Office,Higher education,Married,House / apartment
3439,5009052,0,0,0,1,0,0,1,2.0,medium,low,lowest,3.0,Working,Office,Higher education,Married,House / apartment
3440,5009053,0,0,0,1,0,0,1,2.0,medium,low,lowest,3.0,Working,Office,Higher education,Married,House / apartment
3441,5009055,0,0,0,1,0,0,1,2.0,medium,low,lowest,3.0,Working,Office,Higher education,Married,House / apartment
3442,5009056,0,1,0,1,1,0,0,0.0,medium,lowest,lowest,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
3443,5009057,0,1,0,1,1,0,0,0.0,medium,lowest,lowest,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
3444,5009058,0,0,1,1,0,1,1,0.0,low,lowest,lowest,1.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
3446,5009062,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3447,5009063,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3448,5009064,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3449,5009065,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3450,5009066,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3451,5009067,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3452,5009068,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3453,5009069,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3454,5009070,0,1,1,1,0,0,0,0.0,high,lowest,lowest,2.0,Working,Office,Secondary / secondary special,Civil marriage,House / apartment
3455,5009071,0,0,1,1,0,1,1,0.0,high,lowest,lowest,2.0,Commercial associate,High Tech,Incomplete higher,Civil marriage,Municipal apartment
3456,5009072,0,0,1,1,0,1,1,0.0,high,lowest,lowest,2.0,Commercial associate,High Tech,Incomplete higher,Civil marriage,Municipal apartment
3457,5009074,0,0,1,1,0,1,1,1.0,high,medium,lowest,3.0,State servant,Office,Higher education,Married,House / apartment
3458,5009075,0,0,1,1,0,1,1,1.0,high,medium,lowest,3.0,State servant,Office,Higher education,Married,House / apartment
3459,5009078,0,1,0,1,0,0,0,1.0,medium,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,With parents
3460,5009079,0,0,0,1,0,0,1,0.0,low,lowest,lowest,2.0,Working,Labor,Higher education,Civil marriage,House / apartment
3461,5009080,0,0,0,1,0,0,1,0.0,low,lowest,lowest,2.0,Working,Labor,Higher education,Civil marriage,House / apartment
3462,5009081,0,0,0,1,0,0,1,0.0,low,lowest,lowest,2.0,Working,Labor,Higher education,Civil marriage,House / apartment
3463,5009083,0,1,0,1,0,0,0,0.0,low,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3464,5009084,0,1,0,1,0,0,0,0.0,low,high,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3465,5009088,0,1,1,0,0,0,0,2.0,medium,medium,lowest,3.0,Commercial associate,Labor,Higher education,Married,House / apartment
3466,5009089,0,1,1,0,0,0,0,2.0,medium,medium,lowest,3.0,Commercial associate,Labor,Higher education,Married,House / apartment
3467,5009090,0,1,1,1,0,0,0,0.0,high,low,low,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3468,5009092,0,1,1,1,1,0,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
3469,5009094,0,1,1,1,1,0,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
3470,5009095,0,1,1,1,1,0,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
3471,5009096,0,0,0,1,0,0,1,1.0,high,low,low,3.0,Commercial associate,Office,Secondary / secondary special,Married,House / apartment
3472,5009097,0,0,0,1,0,0,1,1.0,high,low,low,3.0,Commercial associate,Office,Secondary / secondary special,Married,House / apartment
3473,5009098,0,0,0,1,0,0,1,1.0,high,low,low,3.0,Commercial associate,Office,Secondary / secondary special,Married,House / apartment
3474,5009099,0,0,0,1,0,0,0,0.0,high,low,lowest,1.0,Working,High Tech,Higher education,Separated,House / apartment
3475,5009100,0,0,0,1,0,0,0,0.0,high,low,lowest,1.0,Working,High Tech,Higher education,Separated,House / apartment
3476,5009103,0,1,1,1,0,1,0,2.0,medium,low,low,3.0,Working,Labor,Secondary / secondary special,Married,With parents
3477,5009104,0,1,1,1,0,1,0,2.0,medium,low,low,3.0,Working,Labor,Secondary / secondary special,Married,With parents
3478,5009105,0,1,1,1,0,1,0,2.0,medium,low,low,3.0,Working,Labor,Secondary / secondary special,Married,With parents
3479,5009106,0,1,1,1,0,1,0,2.0,medium,low,low,3.0,Working,Labor,Secondary / secondary special,Married,With parents
